institution_id,institution_slug,institution_name,institution_type,city,state_code,country_code,latitude,longitude,website_url
56,new-mexico-institute-of-mining-and-technology-socorro-nm-us,New Mexico Institute of Mining and Technology,,Socorro,NM,US,,,
287,new-york-institute-of-technology-new-york-ny-us,New York Institute of Technology,,NEW YORK,NY,US,,,
295,new-york-university-new-york-ny-us,New York University,,NEW YORK,NY,US,,,
328,north-carolina-agricultural-technical-state-university-greensboro-nc-us,North Carolina Agricultural & Technical State University,,GREENSBORO,NC,US,,,
93,north-carolina-state-university-raleigh-nc-us,North Carolina State University,,RALEIGH,NC,US,,,
180,north-dakota-state-university-fargo-fargo-nd-us,North Dakota State University Fargo,,FARGO,ND,US,,,
149,northeastern-illinois-university-chicago-il-us,Northeastern Illinois University,,CHICAGO,IL,US,,,
330,northeastern-university-boston-ma-us,Northeastern University,,BOSTON,MA,US,,,
183,northern-arizona-university-flagstaff-az-us,Northern Arizona University,,FLAGSTAFF,AZ,US,,,
147,northern-illinois-university-de-kalb-il-us,Northern Illinois University,,DE KALB,IL,US,,,
7,northwestern-university-evanston-il-us,Northwestern University,,Evanston,IL,US,,,
61,northwestern-university-at-chicago-evanston-il-us,Northwestern University at Chicago,,EVANSTON,IL,US,,,
47,ohio-state-university-the-columbus-oh-us,"OHIO STATE UNIVERSITY, THE",,COLUMBUS,OH,US,,,
179,oakland-university-rochester-mi-us,Oakland University,,ROCHESTER,MI,US,,,
40,ohio-university-athens-oh-us,Ohio University,,Athens,OH,US,,,
132,oklahoma-state-university-stillwater-ok-us,Oklahoma State University,,STILLWATER,OK,US,,,
177,old-dominion-university-research-foundation-norfolk-va-us,Old Dominion University Research Foundation,,NORFOLK,VA,US,,,
57,oregon-state-university-corvallis-or-us,Oregon State University,,CORVALLIS,OR,US,,,
208,parkland-college-champaign-il-us,Parkland College,,CHAMPAIGN,IL,US,,,
9,penn-state-university-park-pa-us,Penn State,,University Park,PA,US,,,
312,pennsylvania-state-univ-university-park-altoona-pa-us,Pennsylvania State Univ University Park,,Altoona,PA,US,,,
122,pennsylvania-state-univ-university-park-university-park-pa-us,Pennsylvania State Univ University Park,,UNIVERSITY PARK,PA,US,,,
317,pepperdine-university-malibu-ca-us,Pepperdine University,,MALIBU,CA,US,,,
371,plant-genome-research-summer-internship-us,Plant Genome Research Summer Internship,,,,US,,,
365,platform-for-the-accelerated-realization-analysis-and-discovery-of-interface-materials-research-experience-for-undergraduates-paradim-reu-program-us,"Platform for the Accelerated Realization, Analysis, and Discovery of Interface Materials Research Experience for Undergraduates (PARADIM REU) Program",,,,US,,,
158,portland-state-university-portland-or-us,Portland State University,,PORTLAND,OR,US,,,
357,pre-mstp-summer-research-program-us,Pre-MSTP Summer Research Program,,,,US,,,
339,princeton-university-us,Princeton University,,,,US,,,
309,princeton-university-princeton-nj-us,Princeton University,,PRINCETON,NJ,US,,,
10,purdue-university-west-lafayette-in-us,Purdue University,,WEST LAFAYETTE,IN,US,,,
358,reu-on-quantum-info-sci-us,REU on Quantum Info Sci,,,,US,,,
353,reu-caar-us,REU-CAAR,,,,US,,,
164,regents-of-the-university-of-idaho-moscow-id-us,Regents of the University of Idaho,,MOSCOW,ID,US,,,
76,regents-of-the-university-of-michigan-ann-arbor-ann-arbor-mi-us,Regents of the University of Michigan - Ann Arbor,,ANN ARBOR,MI,US,,,
261,regents-of-the-university-of-michigan-dearborn-dearborn-mi-us,Regents of the University of Michigan - Dearborn,,Dearborn,MI,US,,,
258,regents-of-the-university-of-michigan-flint-flint-mi-us,Regents of the University of Michigan - Flint,,FLINT,MI,US,,,
249,research-foundation-cuny-advanced-science-research-center-new-york-ny-us,Research Foundation CUNY - Advanced Science Research Center,,NEW YORK,NY,US,,,
347,rochester-institute-of-tech-us,Rochester Institute of Tech,,,,US,,,
91,rochester-institute-of-tech-rochester-ny-us,Rochester Institute of Tech,,ROCHESTER,NY,US,,,
167,rocky-mountain-biological-laboratory-crested-butte-co-us,Rocky Mountain Biological Laboratory,,CRESTED BUTTE,CO,US,,,
354,rutgers-mathematics-department-reu-homepage-us,Rutgers Mathematics Department REU homepage,,,,US,,,
32,rutgers-university-dimacs-piscataway-new-brunswick-nj-us,Rutgers University / DIMACS,,Piscataway / New Brunswick,NJ,US,,,
210,rutgers-university-new-brunswick-new-brunswick-nj-us,Rutgers University New Brunswick,,NEW BRUNSWICK,NJ,US,,,
42,rutgers-university-new-brunswick-piscataway-nj-us,Rutgers University New Brunswick,,Piscataway,NJ,US,,,
304,rutgers-university-newark-newark-nj-us,Rutgers University Newark,,NEWARK,NJ,US,,,
11,rutgers-universityanew-brunswick-new-brunswick-nj-us,Rutgers Universityâ€“New Brunswick,,New Brunswick,NJ,US,,,
351,seti-institute-us,SETI Institute,,,,US,,,
370,students-us,STUDENTS,,,,US,,,
124,suny-at-albany-albany-ny-us,SUNY at Albany,,ALBANY,NY,US,,,
222,suny-at-binghamton-binghamton-ny-us,SUNY at Binghamton,,BINGHAMTON,NY,US,,,
204,suny-at-buffalo-amherst-ny-us,SUNY at Buffalo,,AMHERST,NY,US,,,
66,suny-at-buffalo-buffalo-ny-us,SUNY at Buffalo,,Buffalo,NY,US,,,
269,salisbury-university-salisbury-md-us,Salisbury University,,SALISBURY,MD,US,,,
216,salish-kootenai-college-pablo-mt-us,Salish Kootenai College,,PABLO,MT,US,,,
80,sanford-research-usd-sioux-falls-sd-us,Sanford Research/USD,,SIOUX FALLS,SD,US,,,
192,santa-fe-institute-santa-fe-nm-us,Santa Fe Institute,,SANTA FE,NM,US,,,
344,savannah-state-university-us,Savannah State University,,,,US,,,
227,sea-research-foundation-mystic-ct-us,Sea Research Foundation,,Mystic,CT,US,,,
367,search-the-directory-of-reu-sites-us,Search the Directory of REU Sites,,,,US,,,
327,simmons-university-boston-ma-us,Simmons University,,BOSTON,MA,US,,,
146,smithsonian-institution-washington-dc-us,Smithsonian Institution,,WASHINGTON,DC,US,,,
332,smithsonian-institution-astrophysical-observatory-cambridge-ma-us,Smithsonian Institution Astrophysical Observatory,,CAMBRIDGE,MA,US,,,
360,solar-and-space-physics-reu-program-us,Solar and Space Physics REU Program,,,,US,,,
219,south-dakota-school-of-mines-and-technology-rapid-city-sd-us,South Dakota School of Mines and Technology,,RAPID CITY,SD,US,,,
217,south-dakota-state-university-brookings-sd-us,South Dakota State University,,BROOKINGS,SD,US,,,
148,southern-illinois-university-at-edwardsville-edwardsville-il-us,Southern Illinois University at Edwardsville,,EDWARDSVILLE,IL,US,,,
290,southern-methodist-university-dallas-tx-us,Southern Methodist University,,DALLAS,TX,US,,,
145,st-mary-s-university-san-antonio-san-antonio-tx-us,St Mary's University San Antonio,,SAN ANTONIO,TX,US,,,
28,stanford-university-stanford-ca-us,Stanford University,,Stanford,CA,US,,,
383,summer-research-internships-health-careers-opportunity-program-us,Summer Research & Internships - Health Careers Opportunity Program,,,,US,,,
384,summer-research-medical-fellowships-health-professions-advising-university-of-houston-us,Summer Research & Medical Fellowships | Health Professions Advising | University of Houston,,,,US,,,
380,summer-research-program-the-council-on-undergraduate-research-us,Summer Research Program - The Council on Undergraduate Research,,,,US,,,
368,summer-research-program-for-undergraduates-us,Summer Research Program for Undergraduates,,,,US,,,
366,summer-research-program-in-ecology-welcomes-20-students-in-its-31st-year-us,Summer Research Program in Ecology Welcomes 20 Students in its 31st Year,,,,US,,,
361,summer-undergraduate-research-fellowship-us,Summer Undergraduate Research Fellowship,,,,US,,,
381,summer-undergraduate-research-fellowship-surf-miller-school-of-medicine-us,Summer Undergraduate Research Fellowship (SURF) Miller School of Medicine,,,,US,,,
379,summer-undergraduate-research-fellowship-ernest-mario-school-of-pharmacy-us,Summer Undergraduate Research Fellowship – Ernest Mario School of Pharmacy,,,,US,,,
385,summer-undergraduate-research-fellowships-us,Summer Undergraduate Research Fellowships,,,,US,,,
375,summer-undergraduate-research-program-us,Summer Undergraduate Research Program,,,,US,,,
362,summer-undergraduate-research-program-at-the-lurie-center-us,Summer Undergraduate Research Program at the Lurie Center,,,,US,,,
372,summer-undergraduate-research-scholars-program-surs-us,Summer Undergraduate Research Scholars Program (SURS),,,,US,,,
226,syracuse-university-syracuse-ny-us,Syracuse University,,SYRACUSE,NY,US,,,
175,temple-university-philadelphia-pa-us,Temple University,,PHILADELPHIA,PA,US,,,
196,tennessee-technological-university-cookeville-tn-us,Tennessee Technological University,,COOKEVILLE,TN,US,,,
69,texas-a-m-agrilife-research-college-station-tx-us,Texas A&M AgriLife Research,,COLLEGE STATION,TX,US,,,
45,texas-a-m-engineering-experiment-station-college-station-tx-us,Texas A&M Engineering Experiment Station,,COLLEGE STATION,TX,US,,,
151,texas-a-m-university-college-station-tx-us,Texas A&M University,,COLLEGE STATION,TX,US,,,
201,texas-a-m-university-corpus-christi-corpus-christi-tx-us,Texas A&M University Corpus Christi,,CORPUS CHRISTI,TX,US,,,
275,texas-a-m-university-san-antonio-san-antonio-tx-us,Texas A&M University-San Antonio,,SAN ANTONIO,TX,US,,,
126,texas-christian-university-fort-worth-tx-us,Texas Christian University,,FORT WORTH,TX,US,,,
169,texas-state-university-san-marcos-san-marcos-tx-us,Texas State University - San Marcos,,SAN MARCOS,TX,US,,,
302,texas-tech-university-lubbock-tx-us,Texas Tech University,,LUBBOCK,TX,US,,,
262,the-children-s-hospital-of-philadelphia-philadelphia-pa-us,The Children's Hospital of Philadelphia,,PHILADELPHIA,PA,US,,,
331,the-college-of-idaho-caldwell-id-us,The College of Idaho,,CALDWELL,ID,US,,,
19,the-leadership-alliance-member-institutions-multiple-multiple-us,The Leadership Alliance member institutions,,Multiple,Multiple,US,,,
8,the-ohio-state-university-columbus-oh-us,The Ohio State University,,Columbus,OH,US,,,
21,the-rockefeller-university-new-york-ny-us,The Rockefeller University,,New York,NY,US,,,
329,the-scripps-research-institute-la-jolla-ca-us,The Scripps Research Institute,,LA JOLLA,CA,US,,,
140,the-university-corporation-northridge-northridge-ca-us,"The University Corporation, Northridge",,NORTHRIDGE,CA,US,,,
35,the-university-of-central-florida-board-of-trustees-orlando-fl-us,The University of Central Florida Board of Trustees,,ORLANDO,FL,US,,,
118,the-university-of-texas-rio-grande-valley-edinburg-tx-us,The University of Texas Rio Grande Valley,,EDINBURG,TX,US,,,
161,trustees-of-boston-university-boston-ma-us,Trustees of Boston University,,BOSTON,MA,US,,,
311,tufts-university-medford-ma-us,Tufts University,,MEDFORD,MA,US,,,
193,tufts-university-somerville-ma-us,Tufts University,,SOMERVILLE,MA,US,,,
297,tulane-university-new-orleans-la-us,Tulane University,,NEW ORLEANS,LA,US,,,
264,tuskegee-university-tuskegee-institute-al-us,Tuskegee University,,TUSKEGEE INSTITUTE,AL,US,,,
338,u-s-department-of-energy-us,U.S. Department of Energy,,,,US,,,
13,u-s-department-of-energy-national-laboratories-multiple-multiple-us,U.S. Department of Energy national laboratories,,Multiple,Multiple,US,,,
17,u-s-navy-laboratories-multiple-multiple-us,U.S. Navy laboratories,,Multiple,Multiple,US,,,
31,ucla-institute-for-pure-applied-mathematics-ipam-los-angeles-ca-us,UCLA Institute for Pure & Applied Mathematics (IPAM),,Los Angeles,CA,US,,,
374,undergraduate-research-program-us,Undergraduate Research Program,,,,US,,,
280,union-college-schenectady-ny-us,Union College,,SCHENECTADY,NY,US,,,
102,university-corporation-at-monterey-bay-seaside-ca-us,University Corporation at Monterey Bay,,SEASIDE,CA,US,,,
281,university-enterprises-corporation-at-csusb-san-bernardino-ca-us,University Enterprises Corporation at CSUSB,,SAN BERNARDINO,CA,US,,,
43,university-of-akron-akron-oh-us,University of Akron,,AKRON,OH,US,,,
134,university-of-alabama-tuscaloosa-tuscaloosa-al-us,University of Alabama Tuscaloosa,,TUSCALOOSA,AL,US,,,
260,university-of-alabama-at-birmingham-birmingham-al-us,University of Alabama at Birmingham,,BIRMINGHAM,AL,US,,,
38,university-of-alabama-in-huntsville-huntsville-al-us,University of Alabama in Huntsville,,HUNTSVILLE,AL,US,,,
194,university-of-alaska-anchorage-campus-anchorage-ak-us,University of Alaska Anchorage Campus,,ANCHORAGE,AK,US,,,
46,university-of-arizona-oracle-az-us,University of Arizona,,Oracle,AZ,US,,,
49,university-of-arizona-tucson-az-us,University of Arizona,,TUCSON,AZ,US,,,
349,university-of-arkansas-us,University of Arkansas,,,,US,,,
68,university-of-arkansas-fayetteville-ar-us,University of Arkansas,,FAYETTEVILLE,AR,US,,,
255,university-of-california-merced-merced-ca-us,University of California - Merced,,MERCED,CA,US,,,
27,university-of-california-berkeley-berkeley-ca-us,University of California-Berkeley,,BERKELEY,CA,US,,,
71,university-of-california-davis-davis-ca-us,University of California-Davis,,DAVIS,CA,US,,,
236,university-of-california-irvine-irvine-ca-us,University of California-Irvine,,IRVINE,CA,US,,,
245,university-of-california-los-angeles-los-angeles-ca-us,University of California-Los Angeles,,LOS ANGELES,CA,US,,,
195,university-of-california-riverside-riverside-ca-us,University of California-Riverside,,RIVERSIDE,CA,US,,,
72,university-of-california-san-diego-la-jolla-ca-us,University of California-San Diego,,LA JOLLA,CA,US,,,
162,university-of-california-san-diego-scripps-inst-of-oceanography-la-jolla-ca-us,University of California-San Diego Scripps Inst of Oceanography,,LA JOLLA,CA,US,,,
252,university-of-california-santa-barbara-santa-barbara-ca-us,University of California-Santa Barbara,,SANTA BARBARA,CA,US,,,
221,university-of-california-santa-cruz-santa-cruz-ca-us,University of California-Santa Cruz,,SANTA CRUZ,CA,US,,,
316,university-of-central-oklahoma-edmond-ok-us,University of Central Oklahoma,,EDMOND,OK,US,,,
276,university-of-chicago-chicago-il-us,University of Chicago,,CHICAGO,IL,US,,,
242,university-of-cincinnati-cincinnati-oh-us,University of Cincinnati,,CINCINNATI,OH,US,,,
157,university-of-colorado-at-boulder-boulder-co-us,University of Colorado at Boulder,,Boulder,CO,US,,,
234,university-of-colorado-at-colorado-springs-colorado-springs-co-us,University of Colorado at Colorado Springs,,COLORADO SPRINGS,CO,US,,,
231,university-of-connecticut-storrs-ct-us,University of Connecticut,,STORRS,CT,US,,,
143,university-of-dayton-dayton-oh-us,University of Dayton,,DAYTON,OH,US,,,
289,university-of-delaware-newark-de-us,University of Delaware,,NEWARK,DE,US,,,
268,university-of-denver-denver-co-us,University of Denver,,DENVER,CO,US,,,
104,university-of-florida-gainesville-fl-us,University of Florida,,GAINESVILLE,FL,US,,,
165,university-of-florida-jupiter-fl-us,University of Florida,,Jupiter,FL,US,,,
78,university-of-georgia-research-foundation-inc-athens-ga-us,University of Georgia Research Foundation Inc,,ATHENS,GA,US,,,
303,university-of-hawaii-honolulu-hi-us,University of Hawaii,,HONOLULU,HI,US,,,
271,university-of-hawaii-hilo-hi-us,University of Hawaii,,Hilo,HI,US,,,
251,university-of-houston-houston-tx-us,University of Houston,,HOUSTON,TX,US,,,
97,university-of-houston-clear-lake-houston-tx-us,University of Houston - Clear Lake,,HOUSTON,TX,US,,,
120,university-of-houston-downtown-houston-tx-us,University of Houston - Downtown,,HOUSTON,TX,US,,,
142,university-of-illinois-at-urbana-champaign-urbana-il-us,University of Illinois at Urbana-Champaign,,URBANA,IL,US,,,
1,university-of-iowa-iowa-city-ia-us,University of Iowa,,IOWA CITY,IA,US,,,
224,university-of-kansas-center-for-research-inc-lawrence-ks-us,University of Kansas Center for Research Inc,,LAWRENCE,KS,US,,,
64,university-of-kentucky-research-foundation-lexington-ky-us,University of Kentucky Research Foundation,,LEXINGTON,KY,US,,,
116,university-of-louisville-research-foundation-inc-louisville-ky-us,University of Louisville Research Foundation Inc,,LOUISVILLE,KY,US,,,
225,university-of-maine-orono-me-us,University of Maine,,ORONO,ME,US,,,
2,university-of-maryland-college-park-md-us,University of Maryland,,College Park,MD,US,,,
341,university-of-maryland-baltimore-county-us,University of Maryland Baltimore County,,,,US,,,
239,university-of-maryland-baltimore-county-baltimore-md-us,University of Maryland Baltimore County,,BALTIMORE,MD,US,,,
184,university-of-maryland-eastern-shore-princess-anne-md-us,University of Maryland Eastern Shore,,PRINCESS ANNE,MD,US,,,
285,university-of-maryland-college-park-college-park-md-us,"University of Maryland, College Park",,COLLEGE PARK,MD,US,,,
88,university-of-massachusetts-amherst-amherst-ma-us,University of Massachusetts Amherst,,AMHERST,MA,US,,,
