source_id,source_url,source_name,source_type,publisher,authoritative
111,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243957,Coastal Marine Science Research Opportunities for Undergraduates at the Virginia Institute of Marine Science (VIMS) application,official_program,,1
112,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243975,"Student Training in Oceanography, Remote Sensing, and Meteorology (STORM) application",official_program,,1
113,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243980,Advancing Data-Driven Deep Coupling of Computational Simulations and Experiments application,official_program,,1
114,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243981,Advancing Data-Driven Deep Coupling of Computational Simulations and Experiments application,official_program,,1
115,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243991,Theoretical and Application-Driven Mathematics application,official_program,,1
116,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243992,REU Sites: Dryland ecology and biodiversity in the northern Chihuahuan Desert,official_program,,1
117,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243993,Enabling Technologies and New REU Approaches to Engineer Complex Tissues application,official_program,,1
118,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243994,"The Summer Systematics Institute: training the next generation of scientists for the field, the lab, and sharing their science with the world",official_program,,1
119,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243999,Renewal: REU Site: From the Intertidal to the Deep Ocean: Monterey Bay Regional Ocean Science REU Program application,official_program,,1
120,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244014,Students Transforming Energy and Environmental Research (STEER) application,official_program,,1
121,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244020,REU/RET Site: Research Experiences in Mathematics for Undergraduates and Teachers application,official_program,,1
122,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244024,Experimental and Computational Methods for Materials Discovery application,official_program,,1
123,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244028,i-REU Site: The UF/France Research Exchange in Chemistry: Advancing Diversity Through International Engagement application,official_program,,1
124,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244031,"Nanophotonics, Quantum Photonics, and Vision/Biomedical Optics at the University of Rochester. application",official_program,,1
125,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244041,Interdisciplinary Program in Multi-scale Biological Networks application,official_program,,1
126,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244042,Research Experience for Undergraduates in Robotics and Autonomous Systems application,official_program,,1
127,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244043,Chemistry for a Sustainable Future - an International Research Experience in the UK application,official_program,,1
128,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244049,High Performance Computing with Engineering Applications application,official_program,,1
129,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244050,Nanoscale Science and Engineering at Vanderbilt University application,official_program,,1
130,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244052,Interdisciplinary Research Experiences in Advanced Air Mobility for Undergraduates (IREAAMU) application,official_program,,1
131,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244064,Astrophysics and Planetary Science at Cornell University application,official_program,,1
132,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244087,Mechanisms of Evolution,official_program,,1
133,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244092,Sensors in Earth and Space Science: How We Observe Our Planet application,official_program,,1
134,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244093,Research for Undergraduates Summer Institute of Statistics at Indiana University application,official_program,,1
135,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244099,Virtual Education Research in STEM Academy application,official_program,,1
136,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244106,"Synthesis, Assembly and Characterization of Soft Matter Systems application",official_program,,1
137,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244111,REU/RET Site in Nanomaterials application,official_program,,1
138,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244119,REU Site in Advanced Manufacturing and Supply Chain application,official_program,,1
139,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244126,Championing Physics in Multicultural Miami: Dismantling Barriers for New Research Perspectives application,official_program,,1
140,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244129,Intelligent Energetic Systems Engineering (INTENSE) REU application,official_program,,1
141,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244130,Summer Research in Physics at the University of Arkansas application,official_program,,1
142,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244152,Big Data Analytics application,official_program,,1
143,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244160,University of North Carolina at Greensboro - Complex Data Analysis using Statistical and Machine Learning Tools application,official_program,,1
144,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244167,REU and RET Site in Physics at UTRGV application,official_program,,1
145,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244169,Microbiology at the host-pathogen interface application,official_program,,1
146,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244180,"Aquatic Sciences, Engineering, and Technology (ASET) REU at Clarkson University application",official_program,,1
147,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244182,"Systematics, Evolution and Conservation for the 21st Century",official_program,,1
148,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244191,Research Experiences in Computational Sciences and Engineering application,official_program,,1
149,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244195,Inclusive and collaborative approach to cellular and molecular biology for undergraduate researchers at Delaware State University application,official_program,,1
150,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244201,Nanomanufacturing of Emerging 2D Materials and Devices application,official_program,,1
151,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244212,Arctic REU Greenland - Earth and Environmental Processes from the Inland Ice to the Ocean along the Aasivissuit-Nipisat World Heritage Corridor application,official_program,,1
152,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244213,Arctic REU Greenland - Earth and Environmental Processes from the Inland Ice to the Ocean along the Aasivissuit-Nipisat World Heritage Corridor application,official_program,,1
153,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244215,Atmospheric Research and Engineering Solutions for Climate Change and Environmental Challenges application,official_program,,1
154,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244218,Advancing Space Sciences through Undergraduate Research Experiences (ASSURE) application,official_program,,1
155,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244230,Connecting Research to Practice in Crime Analytics application,official_program,,1
156,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244232,Research Experiences in Southeastern Coastal Plain Ecosystems (RESCoPE),official_program,,1
157,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244253,Interdisciplinary Research Experiences in Nanotechnology and Biomedicine application,official_program,,1
158,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244254,Thermal Energy Management on Multiple Scales application,official_program,,1
159,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244258,Physics and Astrophysics at TCU application,official_program,,1
160,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244259,Beyond Language: Training to Create and Share Vector Embeddings across Applications application,official_program,,1
161,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244272,An Inclusive Research Experience in ALpine Meteorology (REALM) application,official_program,,1
162,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244275,Research Experiences for Undergraduates in Plant Science at the Donald Danforth Plant Science Center application,official_program,,1
163,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244278,Frontier Research and Training in Astronomy for the 21st Century application,official_program,,1
164,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244283,NSF REU SITE:  ASSET: Advanced Secured Sensor Enabling Technologies application,official_program,,1
165,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244285,"Making Waves: Science Communication and Interdisciplinary Ocean Research Experiences at USF, College of Marine Science application",official_program,,1
166,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244293,Multi-disciplinary Research Experiences in Smart Personal Protective Equipment (SmaPP) application,official_program,,1
167,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244294,Multi-disciplinary Research Experiences in Smart Personal Protective Equipment (SmaPP) application,official_program,,1
168,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244297,Multidisciplinary Physics at Purdue University application,official_program,,1
169,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244304,Undergraduate Research Experiences on Resilient and Sustainable of Infrastructure System in Smart Cities (RSISSC) application,official_program,,1
170,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244306,Research Experiences for Undergraduates in Industrial Mathematics and Statistics application,official_program,,1
171,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244313,Fluid Mechanics with Analysis using Computations and Experiments (FM-ACE) application,official_program,,1
172,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244316,Materials for Future Computing application,official_program,,1
173,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244322,Earth and Planetary science Interdsciplinary Internships at Carnegie (EPIIC) application,official_program,,1
174,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244323,Unpacking the Significance and Rigor of Engineering Education Research application,official_program,,1
175,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244324,"Advanced Technologies for HYpersonic, Propulsive, Energetic and Reusable Platforms (HYPER) application",official_program,,1
176,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244331,Undergraduate Research Integrating Computation and Experiment to Create Revolutionary Materials application,official_program,,1
177,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244344,Space Physics and Solar Astrophysics Program at Montana State University application,official_program,,1
178,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244348,Mellon College Science Summer Scholars Program at Carnegie Mellon University application,official_program,,1
179,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244390,REU Site for Energy-Efficient Devices and Systems (R-SEEDS) application,official_program,,1
180,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244391,Applying Data Science on Energy-efficient Cluster Systems and Applications application,official_program,,1
181,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244423,Broadening Participation and Resiliency in Physics application,official_program,,1
182,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244424,Smart and Secure Future Computing application,official_program,,1
183,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244427,Georgia Institute of Technology Mathematics REU Program application,official_program,,1
184,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244433,"Applying the Tools of Physics to Explore the Macroscopic, Microscopic, and Quantum Worlds application",official_program,,1
185,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244437,STEM Research for Social Change application,official_program,,1
186,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244438,STEM Research for Social Change application,official_program,,1
187,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244439,STEM Research for Social Change application,official_program,,1
188,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244445,Natural History Research Experiences application,official_program,,1
189,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244453,"Water resources and quality in the Riviera Maya, Mexico application",official_program,,1
190,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244454,"Water resources and quality in the Riviera Maya, Mexico application",official_program,,1
191,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244455,"Water resources and quality in the Riviera Maya, Mexico application",official_program,,1
192,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244460,"Mind, Brain, Body and Behavior application",official_program,,1
193,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244461,Research Experiences for Undergraduates in Discrete and Applied Mathematics application,official_program,,1
194,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244483,"Glyco-Tree - Glycomaterial Training, Research and Education Experiences application",official_program,,1
195,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244488,Cryptography and Coding Theory at the University of South Florida application,official_program,,1
196,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244490,Smart and Sustainable Construction in the Digital Era application,official_program,,1
197,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244494,Research Experience for undergraduates in Programming Languages (REPL) application,official_program,,1
198,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244497,Summer Research Experience at UT-Permian Basin Focused on the Applications of Science and Technology in Solving Real Energy and Environmental Problems application,official_program,,1
199,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244499,Developing next generation entrepreneurs in sustainable manufacturing application,official_program,,1
200,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244506,Program in Nanotechnology for Biology and Bioengineering application,official_program,,1
201,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244514,Research Experiences and Mentorship in Urban Systems (REMUS) application,official_program,,1
202,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244530,Interdisciplinary Renewable and Environmental Collaborative (IREC) application,official_program,,1
203,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244539,"Physics at Kansas State University, Interactions of Matter, Light and Learning application",official_program,,1
204,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244546,Engineering Materials for a Healthy World application,official_program,,1
205,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244551,Computational Modeling Serving Portland application,official_program,,1
206,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244555,Observing the Ocean application,official_program,,1
207,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244580,Drivers for Machine Learning and Artificial Intelligence Practices (MAPs) application,official_program,,1
208,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244583,Coastal Ocean Research through the University of Southern California Wrigley Institute for Environmental Studies application,official_program,,1
209,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244596,Cloud Computing Security and Privacy application,official_program,,1
210,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244665,Research experiences for undergraduates in coastal biology on Florida's first coast application,official_program,,1
211,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244720,Physics/JILA application,official_program,,1
212,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2244795,BU-PRO: Boston University Physics Research Opportunities application,official_program,,1
213,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2315927,Collaborative Research: REU: Calibrating the Water Isotope Thermometer in Antarctica Using Abrupt Heinrich Event Signatures in the EDML Ice Core application,official_program,,1
214,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2315928,Collaborative Research: REU: Calibrating the Water Isotope Thermometer in Antarctica Using Abrupt Heinrich Event Signatures in the EDML Ice Core application,official_program,,1
215,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2345025,Interdisciplinary Research to Prepare Students for the Next Era of Domestic Semiconductor Device Fabrication application,official_program,,1
216,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2347252,Safety Analysis and Design Nexus: Bridging Theory and Practice application,official_program,,1
217,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2348001,Elements of Sustainability application,official_program,,1
218,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2348203,SURFing the Interface between Chemistry and Biology application,official_program,,1
219,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2348288,Undergraduate Robotics Research for Rural Appalachia application,official_program,,1
220,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2348507,"Life in the Mountains: Field Research in Gothic, Colorado",official_program,,1
221,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2348547,Computational and Data Intensive Astrophysics at the University of Florida application,official_program,,1
222,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2348598,Program in Climate and Space Science Observation (PICASSO) at the University of Michigan application,official_program,,1
223,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2348668,Physics and Astronomy at the University of Minnesota application,official_program,,1
